GEOID10,B_NAIP,G_NAIP,R_NAIP,NIR_NAIP,NDVI,NDBI,ECOSTRESS_0827,ESA_LC_MODE,LST_0824,LST_Composite,MODIS_0825,MODIS_0827,MODIS_0828,MODIS_0829,MODIS_0830,Impervious_Surface,Tree_Coverage,af_t,pm_t
37135011800,99.16448975,116.2094269,89.92662811,170.8565674,0.618099332,-0.284039408,305.3046875,10,46973.57031,45019.21094,15264.16797,15240.04785,15123.56152,15146.02441,15252.54395,22.38481712,81.67012024,96.38646088,88.76250534
37135011500,105.8927078,123.6684341,98.95133972,185.1243134,0.631275594,-0.269582927,305.8005066,10,47449.42188,45434.52344,15355.60449,15326.16992,15092.32422,15263.44727,15358.72949,11.05481911,74.45016479,96.32035751,90.63217239
37135010703,115.7170715,132.9244843,112.0846939,161.3644104,0.488974005,-0.168465331,308.839386,10,48546.34766,46361.75781,15206.3252,15223.17383,14987.30176,15145.35059,15282.49805,32.21753311,70.581604,97.65641861,93.5462616
37135011300,112.4002686,129.9321442,105.3900833,163.0965118,0.542175293,-0.197747961,308.1721497,10,48186.73047,46237.19531,15307.46191,15298.56445,15119.43848,15233.94727,15355.03516,25.51439476,52.45999527,97.37722168,92.05110474
37135012100,115.7080536,132.9492035,113.268631,180.9641266,0.513582706,-0.186600506,307.8561707,10,48286.28516,46172.22266,15320.52148,15305.11426,13402.26074,15228.40527,15356.92578,22.41520882,67.86775208,97.22556229,92.67689285
37135011400,102.0562592,119.9476776,94.80480957,171.6633453,0.611601114,-0.268747091,306.0897522,10,47284.83203,45353.43359,15311.44238,15266.02637,15137.53125,15195.84863,15307.80176,17.49885559,64.66018677,96.4505043,89.5025753
37135011700,118.6587067,133.6121674,110.8887177,162.9348755,0.540721178,-0.215556771,308.1026611,10,48003.125,45998.02344,15306.01563,15371.37598,15211.8584,15268.15625,15398.09082,26.40847015,64.56698608,96.87662277,92.12106705
37135010706,100.0786438,116.1164246,90.15612793,179.6974487,0.631110489,-0.286377162,305.1429749,10,46721.83203,44881.88281,15237.61914,15238.50293,15060.63965,15130.3418,15238.83105,18.8328476,74.8924408,96.24023972,88.57269592
37135010705,111.7829971,128.7324219,105.1809998,172.0651093,0.54429841,-0.198777422,306.6575623,10,47774.85156,45734.84375,15228.11035,15245.54199,14977.08008,15163.78809,15299.19434,25.16526604,63.20106125,96.73940353,91.39609985
37135011205,109.1932907,128.8766174,107.5817795,171.8779297,0.534538388,-0.208948344,307.6165466,10,47784.10547,45787.82031,12561.30176,15295.33203,14244.0918,15158.78809,15301.08984,29.09405136,69.07725525,96.99370956,91.20073547
37135012202,119.7867279,135.5169373,114.5569992,168.3483429,0.584399581,-0.243670523,307.3484802,10,47907.57031,45993.51563,15226.75391,15263.03027,15109.09668,15161.00195,15302.75488,29.68712044,75.49258423,96.9675827,91.44519501
37135011902,102.0246277,119.5186157,95.58274078,174.2701111,0.587580919,-0.281937391,305.9398193,10,47256.41797,45249.91797,12504.32324,15274.24121,15108.42969,15173.28125,15288.4248,12.13809586,82.09367371,96.28349152,89.41774025
37135011602,143.3906097,157.6409454,139.3700256,163.0912018,0.364760935,-0.100880176,310.480072,50,49514.28516,47263.94531,15386.44434,15388.40918,15262.46973,15312.08301,15410.28809,48.41228104,74.23069,98.40426483,94.75608978
37135012201,113.7576447,128.6274872,107.6605988,178.248764,0.635448039,-0.261866301,305.9797058,10,47259.24609,45365.55859,15272.99707,15293.20313,14889.75977,15231.82617,15335.58008,14.80809307,84.52358246,96.34698563,89.56842117
37135011901,96.43132019,114.5237198,87.19774628,168.1180115,0.629092157,-0.29286325,305.3748779,10,46966.125,44930.78906,13533.52441,15288.73047,15140.01953,15148.55664,15281.49609,14.50648022,75.31452179,96.30810776,88.3247448
37135011601,133.6286926,147.6056213,129.6519165,156.3957367,0.385078788,-0.096162692,309.0002441,10,49558.08984,47429.58984,15394.04199,15409.97168,15208.59375,15286.49414,15427.11816,43.20019913,57.6461525,98.70126648,94.82851028
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
