GEOID10,B_NAIP,G_NAIP,R_NAIP,NIR_NAIP,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
37063001802,105.6511002,122.4776154,99.7997818,171.3600922,0.54034543,-0.209197775,10,23.61126328,62.93283081,44271.19922,46315.125,45293.16406,15200.67969,15295.53125,67.23923492,66.72906494,85.42327118,83.72557068,81.88228607,80.01798248
37063002007,103.9203339,120.5785294,96.55413818,180.6001587,0.590686023,-0.249519542,10,12.91968346,68.37837982,43945.53125,46033.52734,44989.53125,15194.61035,15240.40137,68.09436798,67.3817749,85.2381134,83.8010025,83.53607941,81.34886932
37063000301,107.6773987,122.4877625,103.8888626,168.9402924,0.417060167,-0.100891083,10,40.17885208,44.17750931,42741.42969,47147.76953,44944.59766,15273.20117,15324.88867,68.10681915,67.37580109,84.94760132,84.50552368,84.08115387,81.89928436
37063001502,113.6011581,130.2016449,117.8548737,158.9743195,0.404009491,-0.111080028,10,40.32504654,41.95973206,44116.49609,47172.51172,45644.50781,15167.20703,15168.88965,68.90514374,68.26920319,85.21749115,83.90791321,84.20541382,82.21967316
37063000700,100.4673996,114.8375092,92.97367096,175.2916718,0.519405723,-0.184343144,10,20.7998085,63.45433807,43737.08594,46497.67188,45117.37891,15254.57324,15306.79688,68.07057953,67.36666107,85.56561279,83.57590485,82.92926025,81.14768982
37063001801,101.3686676,118.0023041,91.56879425,178.1257019,0.6040712,-0.254650623,10,24.84894753,75.10603333,44050.33594,45307.25781,44671.12891,15066.41992,15116.11328,67.11814117,66.68188477,86.078125,83.73579407,80.38428497,78.87863922
37063001708,105.1633148,122.6830368,100.8160172,173.1284332,0.586808205,-0.213791266,10,25.82653427,72.89391327,44285.60156,45839.15625,45062.37891,15120.76465,15126.91406,67.28836823,66.79402161,85.11115265,83.21497345,81.17950439,79.51513672
37063001711,105.6519928,122.2243118,102.0209808,160.6438904,0.536522448,-0.177077189,10,24.44970703,61.12993622,44367.96484,46216,45291.98047,15123.41602,15274.66504,67.10868835,66.43636322,84.73165131,83.61785889,82.67700195,80.78931427
37063001100,113.2921753,129.2635651,116.3044052,171.1303711,0.371280551,-0.078740068,10,44.80143356,33.90057373,43788.83594,47785.62891,45787.23438,15307.5332,15448.41895,69.34072113,68.41146088,86.08413696,84.62321472,84.28861237,82.52116394
37063000600,98.4250412,115.2109985,90.99339294,178.8810883,0.598907888,-0.237435892,10,14.6147871,72.56458282,44991.82813,46201.86719,45596.84766,15167.90332,15233.08105,67.70508575,67.08318329,84.64290619,82.9528656,82.01087189,80.2438736
