,Population Density (Per Sq. Mile),Area (Land),% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over,Households:,Median Household Income (In 2019 Inflation Adjusted Dollars),Per Capita Income (In 2019 Inflation Adjusted Dollars),Renter-Occupied Housing Units,Owner-Occupied Housing Units,Renter-Occupied Housing Units with Cash Rent,Population for Whom Poverty Status Is Determined:,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
0,1535.794,0.71559096,2.73,0,479,63381,30015,133,346,129,1099,0.498911709,-0.168345198,10,34.34745026,61.31781387,43719.84375,46229.61328,44974.73047,15207.98535,15244.8252,67.88726807,67.23242188,85.70882416,83.64704132,82.24108124,80.40859985
1,3423.596,0.599077679,2.97,1.9,825,52536,27629,277,548,277,2050,0.584684253,-0.228104115,10,19.08098412,62.20319748,43154.45703,46228.85156,44691.65234,15215.27344,15253.3584,67.15970612,66.59989929,85.48278046,83.29857635,80.76094818,79.33308411
2,3731.308,0.616941855,0.65,1.39,1047,35114,22463,755,292,748,2302,0.535349905,-0.176735416,10,23.78323555,57.35105133,43800.62891,46652.75391,45226.69141,15234.75977,15341.24805,67.6472702,66.97257233,85.05960083,83.43114471,82.54813385,80.65619659
3,2283.128,0.932054511,4.75,3.24,771,47875,23968,448,323,438,1928,0.512244105,-0.183496118,10,26.53249359,55.98426056,43989.70703,46732.16016,45360.9375,15228.71973,15248.41895,67.67191315,66.95258331,84.69920349,83.3960495,83.358078,81.36696625
4,1532.754,0.713748095,1.65,0,349,,23650,241,108,230,1037,0.485845059,-0.17016013,10,39.27503204,66.0448761,43090.78516,46481.95703,44786.375,15258.8418,15300.82227,67.84463501,67.17315674,85.73458099,83.81209564,82.2734375,80.38795471
5,5952.476,0.195212874,1.12,0,410,48382,25483,281,129,281,1157,0.470296144,-0.139304787,10,32.05007172,42.33374023,42947.86719,46633.03516,44790.45313,15311.33398,15377.55566,68.01538849,67.30846405,85.54724121,84.08437347,83.67989349,81.38034821
6,4219.853,0.257591927,0,1.47,447,82227,48613,149,298,143,1075,0.541152239,-0.186844572,10,19.72368813,57.58746338,42288.94922,46238.67578,44263.8125,15289.8457,15343.35254,67.29290771,66.69464874,85.41437531,83.48767853,81.83546448,80.09735107
7,3307.005,0.33504634,2.26,0.09,546,32368,19401,371,175,371,1108,0.357701361,-0.063748427,50,50.25468063,43.49805069,42798.28125,47165.09375,44981.6875,15258.31641,15318.03711,68.22615814,67.48368073,85.1689682,84.8121109,84.30921173,82.23699188
8,5823.292,0.101660703,4.22,0,255,47366,26975,159,96,159,592,0.505556405,-0.147717491,10,24.61613655,43.2988205,42332.38281,47132.01172,44732.19922,15270.77051,15303.62793,67.87221527,67.17447662,84.44789886,84.05084229,83.90086365,81.48526001
9,6732.249,0.101154909,5.73,0.29,332,61071,51440,230,102,230,672,0.524737477,-0.176886216,10,23.47353363,46.09934235,42964.20313,47106.22656,45035.21484,15324.9541,15368.95605,67.94733429,67.2208252,84.71659851,83.94698334,83.50695801,81.19681549
10,3988.457,0.235178696,0,0,403,115662,66005,105,298,94,938,0.571823001,-0.209912077,10,14.5493927,59.23075104,43083.95703,46872.31641,44978.13672,15250.86426,15339.45215,67.2908783,66.63608551,84.78930664,83.30015564,82.17225647,80.22943878
